2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,
3,7,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,7,1,5,
3,1,1,7,1,1,1,1,1,7,1,1,1,7,1,1,1,1,1,5,
3,7,1,1,1,7,1,7,1,7,1,1,7,1,7,1,1,1,7,5,
3,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,7,1,5,
3,1,1,1,1,1,1,7,7,7,7,7,1,1,1,1,7,1,1,5,
3,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,
3,1,1,1,7,7,1,1,1,1,1,1,7,7,1,1,1,7,7,5,
3,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,5,
3,1,1,1,1,1,1,1,7,7,1,1,1,1,1,7,7,1,1,5,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,
3,1,1,1,7,7,7,7,7,7,1,1,7,7,7,1,1,1,1,5,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,
2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,

